"","sim","stv1","stv2","stv3","halflife1","halflife2","halflife3","theta1","theta2","theta3","delta_cont","var_cont"
"1",1,0.525,1.75,1.75,0.1,0.6,0.6,-5,5,5,8.61140064151537,5.52443641616873
"2",2,0.525,1.75,1.75,0.1,0.6,0.6,-5,5,5,8.18491868605604,5.28050542951864
"3",3,0.525,1.75,1.75,0.1,0.6,0.6,-5,5,5,7.95121485509155,5.3183070493024
"4",4,0.525,1.75,1.75,0.1,0.6,0.6,-5,5,5,10.9924384078249,8.31812039713651
"5",5,0.525,1.75,1.75,0.1,0.6,0.6,-5,5,5,9.3222657504968,7.4875843525445
"6",6,0.525,1.75,1.75,0.1,0.6,0.6,-5,5,5,8.8340738074463,5.64843328306592
"7",7,0.525,1.75,1.75,0.1,0.6,0.6,-5,5,5,8.68805746712963,5.23410469703758
"8",8,0.525,1.75,1.75,0.1,0.6,0.6,-5,5,5,9.75242446553991,7.14073320535753
"9",9,0.525,1.75,1.75,0.1,0.6,0.6,-5,5,5,9.49996619117385,6.7748532915344
"10",10,0.525,1.75,1.75,0.1,0.6,0.6,-5,5,5,9.37021914854468,6.41463310625471
